"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY","X","X.1","YM.1","판매년월"
"36",201112,"일반탄산음료",30,1975,2112,5,201541,489,9,NA,NA,"",""
"37",201201,"일반탄산음료",30,1701,2112,3,203133,362,11,NA,NA,"",""
"38",201202,"일반탄산음료",31,1607,2182,5,186880,377,8,NA,NA,"",""
"39",201203,"일반탄산음료",31,1578,2182,11,212945,6556,10,NA,NA,"",""
"40",201204,"일반탄산음료",42,1541,10944,18,209151,17042,9,NA,NA,"",""
"41",201205,"일반탄산음료",42,1662,10944,24,215673,2095,10,NA,NA,"",""
"42",201206,"일반탄산음료",45,1518,10266,28,215525,8865,10,NA,NA,"",""
"43",201207,"일반탄산음료",43,1554,10441,29,203590,25076,9,NA,NA,"",""
"44",201208,"일반탄산음료",43,1501,10462,30,228142,32385,9,NA,NA,"",""
"45",201209,"일반탄산음료",42,1912,10625,25,223581,23569,10,NA,NA,"",""
"46",201210,"일반탄산음료",44,2045,10188,21,233331,11111,10,NA,NA,"",""
"47",201211,"일반탄산음료",40,1907,11094,11,229144,4805,8,NA,NA,"",""
"48",201212,"일반탄산음료",38,2141,11309,2,239129,3706,11,NA,NA,"",""
"49",201301,"일반탄산음료",38,1828,11309,2,240416,2528,9,NA,NA,"",""
"50",201302,"일반탄산음료",38,1605,11309,5,217015,6667,9,NA,NA,"",""
"51",201303,"일반탄산음료",38,1780,11309,12,243648,4364,11,NA,NA,"",""
"52",201304,"일반탄산음료",38,1649,11309,15,237340,6727,8,NA,NA,"",""
"53",201305,"일반탄산음료",38,1670,11309,23,245068,17217,10,NA,NA,"",""
"54",201306,"일반탄산음료",37,1427,11566,28,236180,7360,11,NA,NA,"",""
"55",201307,"일반탄산음료",37,1333,11572,29,241687,41344,8,NA,NA,"",""
"56",201308,"일반탄산음료",35,1467,12456,31,240142,22284,10,NA,NA,"",""
"57",201309,"일반탄산음료",34,1583,11116,26,231662,13699,12,NA,NA,"",""
"58",201310,"일반탄산음료",32,1996,11739,21,239981,3011,10,NA,NA,"",""
"59",201311,"일반탄산음료",33,2000,11420,12,232854,2944,9,NA,NA,"",""
